Settlement,StatisticGroup,StatisticGroupKod,Year,Count,NumResidents,CrimeRate,DistrictName
אבן יהודה,עבירות תנועה,10000,2020,2,14365,0.01%,מרכז
אבן יהודה,כל העבירות,-2,2020,345,14365,2.40%,מרכז
אום אל-פחם,סעיפי הגדרה,1300,2020,1,58665,0.00%,חיפה
אום אל-פחם,עבירות בטחון,100,2020,116,58665,0.20%,חיפה
אום אל-פחם,עבירות כלכליות,900,2020,7,58665,0.01%,חיפה
אום אל-פחם,עבירות כלפי המוסר,600,2020,137,58665,0.23%,חיפה
אום אל-פחם,עבירות כלפי הרכוש,700,2020,403,58665,0.69%,חיפה
אום אל-פחם,עבירות מין,500,2020,6,58665,0.01%,חיפה
אום אל-פחם,עבירות מרמה,800,2020,86,58665,0.15%,חיפה
אום אל-פחם,עבירות נגד אדם,300,2020,6,58665,0.01%,חיפה
אום אל-פחם,עבירות נגד גוף,400,2020,342,58665,0.58%,חיפה
אום אל-פחם,עבירות סדר ציבורי,200,2020,802,58665,1.37%,חיפה
אום אל-פחם,עבירות רשוי,1100,2020,5,58665,0.01%,חיפה
אום אל-פחם,עבירות תנועה,10000,2020,7,58665,0.01%,חיפה
אום אל-פחם,שאר עבירות,1200,2020,1,58665,0.00%,חיפה
אום אל-פחם,כל העבירות,-2,2020,1919,58665,3.27%,חיפה
אופקים,סעיפי הגדרה,1300,2020,3,35506,0.01%,דרום
אופקים,עבירות בטחון,100,2020,5,35506,0.01%,דרום
אופקים,עבירות כלכליות,900,2020,1,35506,0.00%,דרום
אופקים,עבירות כלפי המוסר,600,2020,110,35506,0.31%,דרום
אופקים,עבירות כלפי הרכוש,700,2020,270,35506,0.76%,דרום
אופקים,עבירות מין,500,2020,48,35506,0.14%,דרום
אופקים,עבירות מרמה,800,2020,37,35506,0.10%,דרום
אופקים,עבירות נגד אדם,300,2020,2,35506,0.01%,דרום
אופקים,עבירות נגד גוף,400,2020,279,35506,0.79%,דרום
אופקים,עבירות סדר ציבורי,200,2020,587,35506,1.65%,דרום
אופקים,עבירות רשוי,1100,2020,4,35506,0.01%,דרום
אופקים,עבירות תנועה,10000,2020,7,35506,0.02%,דרום
אופקים,כל העבירות,-2,2020,1353,35506,3.81%,דרום
אור יהודה,סעיפי הגדרה,1300,2020,4,38854,0.01%,תל אביב
אור יהודה,עבירות בטחון,100,2020,7,38854,0.02%,תל אביב
אור יהודה,עבירות כלכליות,900,2020,2,38854,0.01%,תל אביב
אור יהודה,עבירות כלפי המוסר,600,2020,86,38854,0.22%,תל אביב
אור יהודה,עבירות כלפי הרכוש,700,2020,340,38854,0.88%,תל אביב
אור יהודה,עבירות מין,500,2020,27,38854,0.07%,תל אביב
אור יהודה,עבירות מרמה,800,2020,196,38854,0.50%,תל אביב
אור יהודה,עבירות נגד אדם,300,2020,4,38854,0.01%,תל אביב
אור יהודה,עבירות נגד גוף,400,2020,273,38854,0.70%,תל אביב
אור יהודה,עבירות סדר ציבורי,200,2020,638,38854,1.64%,תל אביב
אור יהודה,עבירות רשוי,1100,2020,3,38854,0.01%,תל אביב
אור יהודה,עבירות תנועה,10000,2020,7,38854,0.02%,תל אביב
אור יהודה,כל העבירות,-2,2020,1587,38854,4.08%,תל אביב
אור עקיבא,עבירות בטחון,100,2020,5,20874,0.02%,חיפה
אור עקיבא,עבירות כלכליות,900,2020,1,20874,0.00%,חיפה
אור עקיבא,עבירות כלפי המוסר,600,2020,97,20874,0.46%,חיפה
אור עקיבא,עבירות כלפי הרכוש,700,2020,269,20874,1.29%,חיפה
אור עקיבא,עבירות מין,500,2020,13,20874,0.06%,חיפה
אור עקיבא,עבירות מרמה,800,2020,19,20874,0.09%,חיפה
אור עקיבא,עבירות נגד גוף,400,2020,182,20874,0.87%,חיפה
אור עקיבא,עבירות סדר ציבורי,200,2020,319,20874,1.53%,חיפה
אור עקיבא,עבירות תנועה,10000,2020,9,20874,0.04%,חיפה
אור עקיבא,כל העבירות,-2,2020,914,20874,4.38%,חיפה
אורנית,סעיפי הגדרה,1300,2020,1,9295,0.01%,מרכז
אורנית,עבירות בטחון,100,2020,6,9295,0.06%,מרכז
אורנית,עבירות כלפי המוסר,600,2020,6,9295,0.06%,מרכז
אורנית,עבירות כלפי הרכוש,700,2020,32,9295,0.34%,מרכז
אורנית,עבירות מין,500,2020,2,9295,0.02%,מרכז
אורנית,עבירות מרמה,800,2020,4,9295,0.04%,מרכז
אורנית,עבירות נגד גוף,400,2020,29,9295,0.31%,מרכז
אורנית,עבירות סדר ציבורי,200,2020,78,9295,0.84%,מרכז
אורנית,כל העבירות,-2,2020,158,9295,1.70%,מרכז
אילת,סעיפי הגדרה,1300,2020,7,53151,0.01%,דרום
אילת,עבירות בטחון,100,2020,22,53151,0.04%,דרום
אילת,עבירות כלכליות,900,2020,8,53151,0.02%,דרום
אילת,עבירות כלפי המוסר,600,2020,749,53151,1.41%,דרום
אילת,עבירות כלפי הרכוש,700,2020,1465,53151,2.76%,דרום
אילת,עבירות מין,500,2020,119,53151,0.22%,דרום
אילת,עבירות מנהליות,1000,2020,1,53151,0.00%,דרום
אילת,עבירות מרמה,800,2020,248,53151,0.47%,דרום
אילת,עבירות נגד אדם,300,2020,3,53151,0.01%,דרום
אילת,עבירות נגד גוף,400,2020,1150,53151,2.16%,דרום
אילת,עבירות סדר ציבורי,200,2020,2275,53151,4.28%,דרום
אילת,עבירות רשוי,1100,2020,24,53151,0.05%,דרום
אילת,עבירות תנועה,10000,2020,44,53151,0.08%,דרום
אילת,שאר עבירות,1200,2020,1,53151,0.00%,דרום
אילת,כל העבירות,-2,2020,6116,53151,11.51%,דרום
אכסאל,עבירות בטחון,100,2020,17,15336,0.11%,צפון
אכסאל,עבירות כלכליות,900,2020,1,15336,0.01%,צפון
אכסאל,עבירות כלפי המוסר,600,2020,30,15336,0.20%,צפון
אכסאל,עבירות כלפי הרכוש,700,2020,123,15336,0.80%,צפון
אכסאל,עבירות מין,500,2020,3,15336,0.02%,צפון
אכסאל,עבירות מרמה,800,2020,11,15336,0.07%,צפון
אכסאל,עבירות נגד אדם,300,2020,2,15336,0.01%,צפון
אכסאל,עבירות נגד גוף,400,2020,108,15336,0.70%,צפון
אכסאל,עבירות סדר ציבורי,200,2020,252,15336,1.64%,צפון
אכסאל,עבירות רשוי,1100,2020,2,15336,0.01%,צפון
אכסאל,עבירות תנועה,10000,2020,2,15336,0.01%,צפון
אכסאל,כל העבירות,-2,2020,551,15336,3.59%,צפון
אלעד,עבירות בטחון,100,2020,2,49487,0.00%,מרכז
אלעד,עבירות כלכליות,900,2020,3,49487,0.01%,מרכז
אלעד,עבירות כלפי המוסר,600,2020,69,49487,0.14%,מרכז
אלעד,עבירות כלפי הרכוש,700,2020,202,49487,0.41%,מרכז
אלעד,עבירות מין,500,2020,31,49487,0.06%,מרכז
אלעד,עבירות מנהליות,1000,2020,1,49487,0.00%,מרכז
אלעד,עבירות מרמה,800,2020,16,49487,0.03%,מרכז
אלעד,עבירות נגד גוף,400,2020,171,49487,0.35%,מרכז
אלעד,עבירות סדר ציבורי,200,2020,276,49487,0.56%,מרכז
אלעד,עבירות רשוי,1100,2020,3,49487,0.01%,מרכז
אלעד,כל העבירות,-2,2020,774,49487,1.56%,מרכז
אלקנה,עבירות בטחון,100,2020,6,4301,0.14%,מרכז
אלקנה,עבירות כלפי המוסר,600,2020,2,4301,0.05%,מרכז
אלקנה,עבירות כלפי הרכוש,700,2020,23,4301,0.53%,מרכז
אלקנה,עבירות מין,500,2020,1,4301,0.02%,מרכז
אלקנה,עבירות מרמה,800,2020,3,4301,0.07%,מרכז
אלקנה,עבירות נגד גוף,400,2020,1,4301,0.02%,מרכז
אלקנה,עבירות סדר ציבורי,200,2020,12,4301,0.28%,מרכז
אלקנה,כל העבירות,-2,2020,48,4301,1.12%,מרכז
אעבלין,סעיפי הגדרה,1300,2020,2,13843,0.01%,צפון
אעבלין,עבירות בטחון,100,2020,41,13843,0.30%,צפון
אעבלין,עבירות כלפי המוסר,600,2020,39,13843,0.28%,צפון
אעבלין,עבירות כלפי הרכוש,700,2020,102,13843,0.74%,צפון
אעבלין,עבירות מין,500,2020,3,13843,0.02%,צפון
אעבלין,עבירות מרמה,800,2020,10,13843,0.07%,צפון
אעבלין,עבירות נגד גוף,400,2020,77,13843,0.56%,צפון
אעבלין,עבירות סדר ציבורי,200,2020,210,13843,1.52%,צפון
אעבלין,עבירות רשוי,1100,2020,2,13843,0.01%,צפון
אעבלין,עבירות תנועה,10000,2020,6,13843,0.04%,צפון
אעבלין,כל העבירות,-2,2020,492,13843,3.55%,צפון
אפרת,עבירות בטחון,100,2020,1,11853,0.01%,ירושלים
אפרת,עבירות כלפי המוסר,600,2020,4,11853,0.03%,ירושלים
אפרת,עבירות כלפי הרכוש,700,2020,31,11853,0.26%,ירושלים
אפרת,עבירות מין,500,2020,5,11853,0.04%,ירושלים
אפרת,עבירות מרמה,800,2020,4,11853,0.03%,ירושלים
אפרת,עבירות נגד גוף,400,2020,29,11853,0.24%,ירושלים
אפרת,עבירות סדר ציבורי,200,2020,45,11853,0.38%,ירושלים
אפרת,עבירות תנועה,10000,2020,1,11853,0.01%,ירושלים
אפרת,כל העבירות,-2,2020,120,11853,1.01%,ירושלים
אריאל,סעיפי הגדרה,1300,2020,1,20520,0.00%,מרכז
אריאל,עבירות בטחון,100,2020,12,20520,0.06%,מרכז
אריאל,עבירות כלכליות,900,2020,2,20520,0.01%,מרכז
אריאל,עבירות כלפי המוסר,600,2020,36,20520,0.18%,מרכז
אריאל,עבירות כלפי הרכוש,700,2020,173,20520,0.84%,מרכז
אריאל,עבירות מין,500,2020,14,20520,0.07%,מרכז
אריאל,עבירות מרמה,800,2020,22,20520,0.11%,מרכז
אריאל,עבירות נגד גוף,400,2020,110,20520,0.54%,מרכז
אריאל,עבירות סדר ציבורי,200,2020,250,20520,1.22%,מרכז
אריאל,עבירות רשוי,1100,2020,1,20520,0.00%,מרכז
אריאל,עבירות תנועה,10000,2020,5,20520,0.02%,מרכז
אריאל,כל העבירות,-2,2020,626,20520,3.05%,מרכז
אשדוד,סעיפי הגדרה,1300,2020,19,226827,0.01%,דרום
אשדוד,עבירות בטחון,100,2020,39,226827,0.02%,דרום
אשדוד,עבירות כלכליות,900,2020,47,226827,0.02%,דרום
אשדוד,עבירות כלפי המוסר,600,2020,454,226827,0.20%,דרום
אשדוד,עבירות כלפי הרכוש,700,2020,2812,226827,1.24%,דרום
אשדוד,עבירות מין,500,2020,248,226827,0.11%,דרום
אשדוד,עבירות מנהליות,1000,2020,1,226827,0.00%,דרום
אשדוד,עבירות מרמה,800,2020,487,226827,0.21%,דרום
אשדוד,עבירות נגד אדם,300,2020,12,226827,0.01%,דרום
אשדוד,עבירות נגד גוף,400,2020,2183,226827,0.96%,דרום
אשדוד,עבירות סדר ציבורי,200,2020,4071,226827,1.79%,דרום
אשדוד,עבירות רשוי,1100,2020,82,226827,0.04%,דרום
אשדוד,עבירות תנועה,10000,2020,47,226827,0.02%,דרום
אשדוד,שאר עבירות,1200,2020,1,226827,0.00%,דרום
אשדוד,כל העבירות,-2,2020,10503,226827,4.63%,דרום
אשקלון,סעיפי הגדרה,1300,2020,16,153138,0.01%,דרום
אשקלון,עבירות בטחון,100,2020,36,153138,0.02%,דרום
אשקלון,עבירות כלכליות,900,2020,13,153138,0.01%,דרום
אשקלון,עבירות כלפי המוסר,600,2020,590,153138,0.39%,דרום
אשקלון,עבירות כלפי הרכוש,700,2020,2125,153138,1.39%,דרום
אשקלון,עבירות מין,500,2020,155,153138,0.10%,דרום
אשקלון,עבירות מנהליות,1000,2020,5,153138,0.00%,דרום
אשקלון,עבירות מרמה,800,2020,287,153138,0.19%,דרום
אשקלון,עבירות נגד אדם,300,2020,7,153138,0.00%,דרום
אשקלון,עבירות נגד גוף,400,2020,1551,153138,1.01%,דרום
אשקלון,עבירות סדר ציבורי,200,2020,2812,153138,1.84%,דרום
אשקלון,עבירות רשוי,1100,2020,81,153138,0.05%,דרום
אשקלון,עבירות תנועה,10000,2020,34,153138,0.02%,דרום
אשקלון,שאר עבירות,1200,2020,2,153138,0.00%,דרום
אשקלון,כל העבירות,-2,2020,7714,153138,5.04%,דרום
באקה אל-גרביה,סעיפי הגדרה,1300,2020,2,31397,0.01%,חיפה
באקה אל-גרביה,עבירות בטחון,100,2020,57,31397,0.18%,חיפה
באקה אל-גרביה,עבירות כלכליות,900,2020,9,31397,0.03%,חיפה
באקה אל-גרביה,עבירות כלפי המוסר,600,2020,128,31397,0.41%,חיפה
באקה אל-גרביה,עבירות כלפי הרכוש,700,2020,238,31397,0.76%,חיפה
באקה אל-גרביה,עבירות מין,500,2020,11,31397,0.04%,חיפה
באקה אל-גרביה,עבירות מרמה,800,2020,33,31397,0.11%,חיפה
באקה אל-גרביה,עבירות נגד אדם,300,2020,7,31397,0.02%,חיפה
באקה אל-גרביה,עבירות נגד גוף,400,2020,175,31397,0.56%,חיפה
באקה אל-גרביה,עבירות סדר ציבורי,200,2020,581,31397,1.85%,חיפה
באקה אל-גרביה,עבירות רשוי,1100,2020,3,31397,0.01%,חיפה
באקה אל-גרביה,עבירות תנועה,10000,2020,15,31397,0.05%,חיפה
באקה אל-גרביה,כל העבירות,-2,2020,1259,31397,4.01%,חיפה
באר יעקב,עבירות בטחון,100,2020,9,31325,0.03%,מרכז
באר יעקב,עבירות כלכליות,900,2020,1,31325,0.00%,מרכז
באר יעקב,עבירות כלפי המוסר,600,2020,40,31325,0.13%,מרכז
באר יעקב,עבירות כלפי הרכוש,700,2020,225,31325,0.72%,מרכז
באר יעקב,עבירות מין,500,2020,7,31325,0.02%,מרכז
באר יעקב,עבירות מרמה,800,2020,31,31325,0.10%,מרכז
באר יעקב,עבירות נגד גוף,400,2020,97,31325,0.31%,מרכז
באר יעקב,עבירות סדר ציבורי,200,2020,187,31325,0.60%,מרכז
באר יעקב,עבירות תנועה,10000,2020,2,31325,0.01%,מרכז
באר יעקב,כל העבירות,-2,2020,599,31325,1.91%,מרכז
באר שבע,סעיפי הגדרה,1300,2020,7,214162,0.00%,דרום
באר שבע,עבירות בטחון,100,2020,55,214162,0.03%,דרום
באר שבע,עבירות כלכליות,900,2020,20,214162,0.01%,דרום
באר שבע,עבירות כלפי המוסר,600,2020,962,214162,0.45%,דרום
באר שבע,עבירות כלפי הרכוש,700,2020,6212,214162,2.90%,דרום
באר שבע,עבירות מין,500,2020,313,214162,0.15%,דרום
באר שבע,עבירות מנהליות,1000,2020,3,214162,0.00%,דרום
באר שבע,עבירות מרמה,800,2020,604,214162,0.28%,דרום
באר שבע,עבירות נגד אדם,300,2020,22,214162,0.01%,דרום
באר שבע,עבירות נגד גוף,400,2020,2502,214162,1.17%,דרום
באר שבע,עבירות סדר ציבורי,200,2020,5691,214162,2.66%,דרום
באר שבע,עבירות רשוי,1100,2020,62,214162,0.03%,דרום
באר שבע,עבירות תנועה,10000,2020,144,214162,0.07%,דרום
באר שבע,שאר עבירות,1200,2020,1,214162,0.00%,דרום
באר שבע,כל העבירות,-2,2020,16598,214162,7.75%,דרום
בוקעתא,עבירות בטחון,100,2020,1,6805,0.01%,צפון
בוקעתא,עבירות כלכליות,900,2020,1,6805,0.01%,צפון
בוקעתא,עבירות כלפי המוסר,600,2020,15,6805,0.22%,צפון
בוקעתא,עבירות כלפי הרכוש,700,2020,17,6805,0.25%,צפון
בוקעתא,עבירות מין,500,2020,2,6805,0.03%,צפון
בוקעתא,עבירות מרמה,800,2020,2,6805,0.03%,צפון
בוקעתא,עבירות נגד גוף,400,2020,15,6805,0.22%,צפון
בוקעתא,עבירות סדר ציבורי,200,2020,45,6805,0.66%,צפון
בוקעתא,עבירות רשוי,1100,2020,1,6805,0.01%,צפון
בוקעתא,עבירות תנועה,10000,2020,2,6805,0.03%,צפון
בוקעתא,כל העבירות,-2,2020,101,6805,1.48%,צפון
ביענה,סעיפי הגדרה,1300,2020,1,8629,0.01%,צפון
ביענה,עבירות בטחון,100,2020,39,8629,0.45%,צפון
ביענה,עבירות כלכליות,900,2020,3,8629,0.03%,צפון
ביענה,עבירות כלפי המוסר,600,2020,35,8629,0.41%,צפון
ביענה,עבירות כלפי הרכוש,700,2020,65,8629,0.75%,צפון
ביענה,עבירות מין,500,2020,1,8629,0.01%,צפון
ביענה,עבירות מרמה,800,2020,7,8629,0.08%,צפון
ביענה,עבירות נגד אדם,300,2020,1,8629,0.01%,צפון
ביענה,עבירות נגד גוף,400,2020,51,8629,0.59%,צפון
ביענה,עבירות סדר ציבורי,200,2020,179,8629,2.07%,צפון
ביענה,כל העבירות,-2,2020,382,8629,4.43%,צפון
ביר אל מכסור,סעיפי הגדרה,1300,2020,1,10175,0.01%,צפון
ביר אל מכסור,עבירות בטחון,100,2020,6,10175,0.06%,צפון
ביר אל מכסור,עבירות כלכליות,900,2020,1,10175,0.01%,צפון
ביר אל מכסור,עבירות כלפי המוסר,600,2020,7,10175,0.07%,צפון
ביר אל מכסור,עבירות כלפי הרכוש,700,2020,38,10175,0.37%,צפון
ביר אל מכסור,עבירות מין,500,2020,6,10175,0.06%,צפון
ביר אל מכסור,עבירות מרמה,800,2020,7,10175,0.07%,צפון
ביר אל מכסור,עבירות נגד גוף,400,2020,61,10175,0.60%,צפון
ביר אל מכסור,עבירות סדר ציבורי,200,2020,86,10175,0.85%,צפון
ביר אל מכסור,עבירות רשוי,1100,2020,2,10175,0.02%,צפון
ביר אל מכסור,עבירות תנועה,10000,2020,2,10175,0.02%,צפון
ביר אל מכסור,כל העבירות,-2,2020,217,10175,2.13%,צפון
בית אל,סעיפי הגדרה,1300,2020,2,6108,0.03%,ירושלים
בית אל,עבירות בטחון,100,2020,18,6108,0.29%,ירושלים
בית אל,עבירות כלכליות,900,2020,1,6108,0.02%,ירושלים
בית אל,עבירות כלפי המוסר,600,2020,1,6108,0.02%,ירושלים
בית אל,עבירות כלפי הרכוש,700,2020,15,6108,0.25%,ירושלים
בית אל,עבירות מין,500,2020,4,6108,0.07%,ירושלים
בית אל,עבירות מרמה,800,2020,4,6108,0.07%,ירושלים
בית אל,עבירות נגד גוף,400,2020,10,6108,0.16%,ירושלים
בית אל,עבירות סדר ציבורי,200,2020,22,6108,0.36%,ירושלים
בית אל,עבירות רשוי,1100,2020,1,6108,0.02%,ירושלים
בית אל,עבירות תנועה,10000,2020,1,6108,0.02%,ירושלים
בית אל,כל העבירות,-2,2020,79,6108,1.29%,ירושלים
בית ג'ן,עבירות בטחון,100,2020,3,12433,0.02%,צפון
בית ג'ן,עבירות כלפי המוסר,600,2020,6,12433,0.05%,צפון
בית ג'ן,עבירות כלפי הרכוש,700,2020,56,12433,0.45%,צפון
בית ג'ן,עבירות מין,500,2020,1,12433,0.01%,צפון
בית ג'ן,עבירות מרמה,800,2020,12,12433,0.10%,צפון
בית ג'ן,עבירות נגד גוף,400,2020,37,12433,0.30%,צפון
בית ג'ן,עבירות סדר ציבורי,200,2020,86,12433,0.69%,צפון
בית ג'ן,כל העבירות,-2,2020,201,12433,1.62%,צפון
בית שאן,עבירות בטחון,100,2020,8,19073,0.04%,צפון
בית שאן,עבירות כלכליות,900,2020,10,19073,0.05%,צפון
בית שאן,עבירות כלפי המוסר,600,2020,107,19073,0.56%,צפון
בית שאן,עבירות כלפי הרכוש,700,2020,277,19073,1.45%,צפון
בית שאן,עבירות מין,500,2020,17,19073,0.09%,צפון
בית שאן,עבירות מרמה,800,2020,45,19073,0.24%,צפון
בית שאן,עבירות נגד גוף,400,2020,212,19073,1.11%,צפון
בית שאן,עבירות סדר ציבורי,200,2020,433,19073,2.27%,צפון
בית שאן,עבירות רשוי,1100,2020,3,19073,0.02%,צפון
בית שאן,עבירות תנועה,10000,2020,12,19073,0.06%,צפון
בית שאן,כל העבירות,-2,2020,1124,19073,5.89%,צפון
בית שמש,סעיפי הגדרה,1300,2020,4,154694,0.00%,ירושלים
בית שמש,עבירות בטחון,100,2020,24,154694,0.02%,ירושלים
בית שמש,עבירות כלכליות,900,2020,4,154694,0.00%,ירושלים
בית שמש,עבירות כלפי המוסר,600,2020,272,154694,0.18%,ירושלים
בית שמש,עבירות כלפי הרכוש,700,2020,718,154694,0.46%,ירושלים
בית שמש,עבירות מין,500,2020,98,154694,0.06%,ירושלים
בית שמש,עבירות מרמה,800,2020,115,154694,0.07%,ירושלים
בית שמש,עבירות נגד אדם,300,2020,4,154694,0.00%,ירושלים
בית שמש,עבירות נגד גוף,400,2020,539,154694,0.35%,ירושלים
בית שמש,עבירות סדר ציבורי,200,2020,1218,154694,0.79%,ירושלים
בית שמש,עבירות רשוי,1100,2020,6,154694,0.00%,ירושלים
בית שמש,עבירות תנועה,10000,2020,10,154694,0.01%,ירושלים
בית שמש,כל העבירות,-2,2020,3012,154694,1.95%,ירושלים
ביתר עילית,עבירות בטחון,100,2020,25,64016,0.04%,ירושלים
ביתר עילית,עבירות כלכליות,900,2020,2,64016,0.00%,ירושלים
ביתר עילית,עבירות כלפי המוסר,600,2020,73,64016,0.11%,ירושלים
ביתר עילית,עבירות כלפי הרכוש,700,2020,275,64016,0.43%,ירושלים
ביתר עילית,עבירות מין,500,2020,49,64016,0.08%,ירושלים
ביתר עילית,עבירות מרמה,800,2020,28,64016,0.04%,ירושלים
ביתר עילית,עבירות נגד גוף,400,2020,206,64016,0.32%,ירושלים
ביתר עילית,עבירות סדר ציבורי,200,2020,346,64016,0.54%,ירושלים
ביתר עילית,עבירות רשוי,1100,2020,4,64016,0.01%,ירושלים
ביתר עילית,עבירות תנועה,10000,2020,4,64016,0.01%,ירושלים
ביתר עילית,כל העבירות,-2,2020,1012,64016,1.58%,ירושלים
בני ברק,סעיפי הגדרה,1300,2020,2,218357,0.00%,תל אביב
בני ברק,עבירות בטחון,100,2020,7,218357,0.00%,תל אביב
בני ברק,עבירות כלכליות,900,2020,8,218357,0.00%,תל אביב
בני ברק,עבירות כלפי המוסר,600,2020,192,218357,0.09%,תל אביב
בני ברק,עבירות כלפי הרכוש,700,2020,1369,218357,0.63%,תל אביב
בני ברק,עבירות מין,500,2020,132,218357,0.06%,תל אביב
בני ברק,עבירות מנהליות,1000,2020,2,218357,0.00%,תל אביב
בני ברק,עבירות מרמה,800,2020,227,218357,0.10%,תל אביב
בני ברק,עבירות נגד אדם,300,2020,4,218357,0.00%,תל אביב
בני ברק,עבירות נגד גוף,400,2020,574,218357,0.26%,תל אביב
בני ברק,עבירות סדר ציבורי,200,2020,1268,218357,0.58%,תל אביב
בני ברק,עבירות רשוי,1100,2020,6,218357,0.00%,תל אביב
בני ברק,עבירות תנועה,10000,2020,12,218357,0.01%,תל אביב
בני ברק,כל העבירות,-2,2020,3803,218357,1.74%,תל אביב
בנימינה-גבעת עדה,עבירות בטחון,100,2020,2,16281,0.01%,חיפה
בנימינה-גבעת עדה,עבירות כלפי המוסר,600,2020,41,16281,0.25%,חיפה
בנימינה-גבעת עדה,עבירות כלפי הרכוש,700,2020,286,16281,1.76%,חיפה
בנימינה-גבעת עדה,עבירות מין,500,2020,13,16281,0.08%,חיפה
בנימינה-גבעת עדה,עבירות מרמה,800,2020,12,16281,0.07%,חיפה
בנימינה-גבעת עדה,עבירות נגד גוף,400,2020,39,16281,0.24%,חיפה
בנימינה-גבעת עדה,עבירות סדר ציבורי,200,2020,126,16281,0.77%,חיפה
בנימינה-גבעת עדה,כל העבירות,-2,2020,519,16281,3.19%,חיפה
בסמ''ה,סעיפי הגדרה,1300,2020,2,10743,0.02%,חיפה
בסמ''ה,עבירות בטחון,100,2020,58,10743,0.54%,חיפה
בסמ''ה,עבירות כלכליות,900,2020,7,10743,0.07%,חיפה
בסמ''ה,עבירות כלפי המוסר,600,2020,7,10743,0.07%,חיפה
בסמ''ה,עבירות כלפי הרכוש,700,2020,40,10743,0.37%,חיפה
בסמ''ה,עבירות מין,500,2020,3,10743,0.03%,חיפה
בסמ''ה,עבירות מרמה,800,2020,3,10743,0.03%,חיפה
בסמ''ה,עבירות נגד גוף,400,2020,30,10743,0.28%,חיפה
בסמ''ה,עבירות סדר ציבורי,200,2020,75,10743,0.70%,חיפה
בסמ''ה,כל העבירות,-2,2020,225,10743,2.09%,חיפה
בסמת טבעון,עבירות בטחון,100,2020,9,8145,0.11%,צפון
בסמת טבעון,עבירות כלפי המוסר,600,2020,10,8145,0.12%,צפון
בסמת טבעון,עבירות כלפי הרכוש,700,2020,50,8145,0.61%,צפון
בסמת טבעון,עבירות מרמה,800,2020,2,8145,0.02%,צפון
בסמת טבעון,עבירות נגד אדם,300,2020,1,8145,0.01%,צפון
בסמת טבעון,עבירות נגד גוף,400,2020,48,8145,0.59%,צפון
בסמת טבעון,עבירות סדר ציבורי,200,2020,113,8145,1.39%,צפון
בסמת טבעון,עבירות רשוי,1100,2020,2,8145,0.02%,צפון
בסמת טבעון,עבירות תנועה,10000,2020,1,8145,0.01%,צפון
בסמת טבעון,כל העבירות,-2,2020,236,8145,2.90%,צפון
בת ים,סעיפי הגדרה,1300,2020,7,128465,0.01%,תל אביב
בת ים,עבירות בטחון,100,2020,17,128465,0.01%,תל אביב
בת ים,עבירות כלכליות,900,2020,13,128465,0.01%,תל אביב
בת ים,עבירות כלפי המוסר,600,2020,462,128465,0.36%,תל אביב
בת ים,עבירות כלפי הרכוש,700,2020,2542,128465,1.98%,תל אביב
